"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6442","registerWithoutUsername_shouldShowValidationError","Default Suite","2026-04-20","passed","2026-04-20","Tests.RegisterTest","automationTestingProject","Tests.RegisterTest","registerWithoutUsername_shouldShowValidationError"
"","9968","testOpenSignupPage","Default Suite","2026-04-20","passed","2026-04-20","Tests.RegistrationTest","automationTestingProject","Tests.RegistrationTest","testOpenSignupPage"
"","49652","endToEndSubscribeCourse","Default Suite","2026-04-20","passed","2026-04-20","Tests.EndToEndTest","automationTestingProject","Tests.EndToEndTest","endToEndSubscribeCourse"
"","95839","verifyCourseCardUI","Default Suite","2026-04-20","passed","2026-04-20","Tests.CourseCardsTest","automationTestingProject","Tests.CourseCardsTest","verifyCourseCardUI"
"","4839","loginWithInvalidCredentials_shouldShowErrorMessage","Default Suite","2026-04-20","passed","2026-04-20","Tests.LoginTest","automationTestingProject","Tests.LoginTest","loginWithInvalidCredentials_shouldShowErrorMessage"
"","8442","verifyFacebookLink","Default Suite","2026-04-20","passed","2026-04-20","Tests.FooterTest","automationTestingProject","Tests.FooterTest","verifyFacebookLink"
"","19342","testOpenCourseDetails","Default Suite","2026-04-20","broken","2026-04-20","Tests.CoursesTest","automationTestingProject","Tests.CoursesTest","testOpenCourseDetails"
"","6769","loginWithEmptyFields_shouldShowValidationErrors","Default Suite","2026-04-20","passed","2026-04-20","Tests.EmptyFieldsTest","automationTestingProject","Tests.EmptyFieldsTest","loginWithEmptyFields_shouldShowValidationErrors"
"","7663","verifyLinkedInLink","Default Suite","2026-04-20","passed","2026-04-20","Tests.FooterTest","automationTestingProject","Tests.FooterTest","verifyLinkedInLink"
"","5541","testValidSearchKeyword","Default Suite","2026-04-20","passed","2026-04-20","Tests.SearchTest","automationTestingProject","Tests.SearchTest","testValidSearchKeyword"
