"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that user can open course details page from courses list","22906","testOpenCourseDetails","Default Suite","2026-04-22","broken","2026-04-22","Tests.CoursesTest","automationTestingProject","Tests.CoursesTest","testOpenCourseDetails"
"Verify full flow: login, navigate to courses, subscribe, and check cart","19459","endToEndSubscribeCourse","Default Suite","2026-04-22","passed","2026-04-22","Tests.EndToEndTest","automationTestingProject","Tests.EndToEndTest","endToEndSubscribeCourse"
"","5708","verifyLinkedInLink","Default Suite","2026-04-22","passed","2026-04-22","Tests.FooterTest","automationTestingProject","Tests.FooterTest","verifyLinkedInLink"
"","6173","verifyFacebookLink","Default Suite","2026-04-22","passed","2026-04-22","Tests.FooterTest","automationTestingProject","Tests.FooterTest","verifyFacebookLink"
"Verify validation messages appear when login fields are empty","1387","loginWithEmptyFields_shouldShowValidationErrors","Default Suite","2026-04-22","passed","2026-04-22","Tests.EmptyFieldsTest","automationTestingProject","Tests.EmptyFieldsTest","loginWithEmptyFields_shouldShowValidationErrors"
"User enters keyword and presses enter to navigate to results page","4425","testValidSearchKeyword","Default Suite","2026-04-22","passed","2026-04-22","Tests.SearchTest","automationTestingProject","Tests.SearchTest","testValidSearchKeyword"
"Verify that user can open signup page","8429","testOpenSignupPage","Default Suite","2026-04-22","passed","2026-04-22","Tests.RegistrationTest","automationTestingProject","Tests.RegistrationTest","testOpenSignupPage"
"Verify that error message is displayed when user enters invalid credentials","3670","loginWithInvalidCredentials_shouldShowErrorMessage","Default Suite","2026-04-22","passed","2026-04-22","Tests.LoginTest","automationTestingProject","Tests.LoginTest","loginWithInvalidCredentials_shouldShowErrorMessage"
"Verify course card displays image, title, instructor name, and subscribe button","5201","verifyCourseCard","Default Suite","2026-04-22","passed","2026-04-22","Tests.CourseCardsTest","automationTestingProject","Tests.CourseCardsTest","verifyCourseCard"
"Verify that validation message appears when username field is left empty","5644","registerWithoutUsername_shouldShowValidationError","Default Suite","2026-04-22","passed","2026-04-22","Tests.RegisterTest","automationTestingProject","Tests.RegisterTest","registerWithoutUsername_shouldShowValidationError"
